,order_id,order_status,payment_status,product_name,date,sku,qty,unit_price,paid_amount,paid_amount_calculated_no_ship_cost,paid_amount_calculated,logistic_cost,logistic_type
1359,2000011334254474,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-15 16:52:55-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1360,2000011334353954,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 17:03:27-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1361,2000011334444100,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 17:11:41-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1362,2000011334576578,paid,approved,Central Multimidia 7pol 2gb 32gb Quadcore Carplay E Android Cor Preto,2025-04-15 17:24:48-03:00,DVMULTIMIDIA7_2_32,1,441.6,441.6,441.6,441.6,0.0,fulfillment
1363,2000011334777826,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 17:46:03-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1364,2000011334848558,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 17:53:03-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1365,2000011334888556,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 17:56:56-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1366,2000011334885246,paid,approved,Central Multimidia 9pol 2gb 32gb Quadcore Carplay E Android,2025-04-15 17:58:51-03:00,DVMULTIMIDIA9_2_32,1,446.5,446.5,446.5,446.5,0.0,fulfillment
1367,2000011334992288,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-15 18:06:32-03:00,DV_CAMERARE,1,23.66,23.66,23.66,23.66,0.0,fulfillment
1368,2000011335091244,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 18:20:36-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1369,2000011335199006,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 18:29:54-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1370,2000011335201828,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 18:31:15-03:00,DVLAVADORASTANDARD,1,126.0,140.17,126.0,140.17,14.17,fulfillment
1371,2000011335258620,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 18:34:52-03:00,DVCOLCHAO01,2,177.48,354.96,354.96,354.96,0.0,fulfillment
1372,2000011335376176,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 18:46:32-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1373,2000011335578898,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 19:09:36-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1374,2000011335683160,paid,approved,Colchão Inflável Casal Premium + Bomba De Ar.,2025-04-15 19:20:15-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1375,2000011335782320,cancelled,refunded,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 19:28:23-03:00,DVCALIBPORTCZK,1,125.4,0.0,125.4,125.4,0.0,fulfillment
1376,2000011335877414,cancelled,refunded,Central Multimidia 9pol 2gb 32gb Quadcore Carplay E Android,2025-04-15 19:41:03-03:00,DVMULTIMIDIA9_2_32,1,446.5,0.0,446.5,446.5,0.0,fulfillment
1377,2000011335920576,cancelled,refunded,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 19:43:03-03:00,DVLAVADORASTANDARD,1,126.0,0.0,126.0,149.9,23.9,fulfillment
1378,2000011335901806,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 19:43:55-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1379,2000011335990026,paid,approved,Colchão Inflável Casal Premium + Bomba De Ar.,2025-04-15 19:48:08-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1380,2000011335988402,paid,approved,Furadeira Parafusadeira Gambit Kit Profissional Com Maleta,2025-04-15 19:48:47-03:00,DVPARAFUSA01,1,142.5,142.5,142.5,142.5,0.0,fulfillment
1381,2000011336020186,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 19:51:09-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1382,2000011336073936,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-15 20:00:48-03:00,DV_CAMERARE,1,23.66,38.56,23.66,38.56,14.9,fulfillment
1383,2000011336141830,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 20:08:31-03:00,DVLAVADORASTANDARD,1,126.0,149.9,126.0,149.9,23.9,fulfillment
1384,2000011336186948,paid,rejected,Colchão Inflável Casal Premium + Bomba De Ar.,2025-04-15 20:10:48-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1385,2000011336198578,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 20:12:42-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1386,2000011336268098,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 20:15:19-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1387,2000011336237602,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 20:15:59-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1388,2000011336440112,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 20:32:06-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1389,2000011336462582,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-15 20:34:37-03:00,DV_CAMERARE,1,23.66,40.56,23.66,40.56,16.9,fulfillment
1390,2000011336458982,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 20:36:04-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1391,2000011336507804,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 20:42:40-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1392,2000011336670972,paid,approved,Câmera De Ré Automotiva 2 Em 1 Colorida Borboleta E Embutir Vision Carro Segurança,2025-04-15 20:54:42-03:00,DV_CAMERARE,3,23.66,70.98,70.98,70.98,0.0,fulfillment
1393,2000011336705132,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 20:58:46-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1394,2000011336786128,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 21:04:30-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1395,2000011336787770,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 21:08:47-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1396,2000011336819980,paid,approved,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 21:09:26-03:00,DVCALIBPORTCZK,1,125.4,125.4,125.4,125.4,0.0,fulfillment
1397,2000011336897884,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 21:20:17-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1398,2000011335487248,paid,rejected,Central Multimidia 7pol 2gb 32gb Quadcore Carplay E Android Cor Preto,2025-04-15 21:21:05-03:00,DVMULTIMIDIA7_2_32,1,441.6,441.6,441.6,441.6,0.0,fulfillment
1399,2000011337070934,paid,approved,Lavadora Portátil Sem Fio Ar Condicionado Carros Motos Bicicletas Sem Fio Ar Condicionado Carros Motos,2025-04-15 21:32:47-03:00,DVLAVADORASTANDARD,1,126.0,126.0,126.0,126.0,0.0,fulfillment
1400,2000011337102158,paid,approved,Colchão Inflável Casal Premium + Bomba De Ar.,2025-04-15 21:34:55-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1401,2000011337073282,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 21:35:16-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1402,2000011337189300,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 21:45:45-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
1403,2000011337243596,cancelled,refunded,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,2025-04-15 21:50:37-03:00,DVCALIBPORTCZK,1,125.4,0.0,125.4,125.4,0.0,fulfillment
1404,2000011337325752,paid,approved,Colchão Inflável De Casal Com Bomba De Ar,2025-04-15 21:57:26-03:00,DVCOLCHAO01,1,177.48,177.48,177.48,177.48,0.0,fulfillment
